x,y
0,0
-0.464089,0.079310
0,0
-0.451227,0.032115
0,0
-0.375561,-0.332120
0,0
-0.390731,-0.025550
0,0
-0.385321,-0.055901
0,0
-0.306962,-0.274655
0,0
-0.211187,0.896193
